Recency (months), Frequency (times), Monetary (l blood), Time (months), whether he/she donated blood in March 2007
2, 50, 12.5, 98, 1
0, 13, 3.25, 28, 1
1, 16, 4, 35, 1
1, 20, 5, 45, 1
1, 24, 5, 77, 0
1, 4, 1, 4, 0
2, 7, 1.75, 14, 1
1, 12, 3, 35, 0
2, 9, 2.25, 22, 1
5, 46, 11.5, 98, 1
4, 23, 5.75, 58, 0
0, 3, 0.75, 4, 0
2, 10, 2.5, 28, 1
1, 13, 3.25, 47, 0
2, 6, 1.5, 15, 1
2, 5, 1.25, 11, 1
2, 14, 3.5, 48, 1
2, 15, 3.75, 49, 1
2, 6, 1.5, 15, 1
2, 3, 0.75, 4, 1
2, 3, 0.75, 4, 1
4, 11, 2.75, 28, 0
2, 6, 1.5, 16, 1
2, 6, 1.5, 16, 1
9, 9, 2.25, 16, 0
4, 14, 3.5, 40, 0
4, 6, 1.5, 14, 0
4, 12, 3, 34, 1
4, 5, 1.25, 11, 1
4, 8, 2, 21, 0
1, 14, 3.5, 58, 0
4, 10, 2.5, 28, 1
4, 10, 2.5, 28, 1
4, 9, 2.25, 26, 1
2, 16, 4, 64, 0
2, 8, 2, 28, 1
2, 12, 3, 47, 1
4, 6, 1.5, 16, 1
2, 14, 3.5, 57, 1
4, 7, 1.75, 22, 1
2, 13, 3.25, 53, 1
2, 5, 1.25, 16, 0
2, 5, 1.25, 16, 1
2, 5, 1.25, 16, 0
4, 20, 5, 69, 1
4, 9, 2.25, 28, 1
2, 9, 2.25, 36, 0
2, 2, 0.5, 2, 0
2, 2, 0.5, 2, 0
2, 2, 0.5, 2, 0
2, 11, 2.75, 46, 0
2, 11, 2.75, 46, 1
2, 6, 1.5, 22, 0
2, 12, 3, 52, 0
4, 5, 1.25, 14, 1
4, 19, 4.75, 69, 1
4, 8, 2, 26, 1
2, 7, 1.75, 28, 1
2, 16, 4, 81, 0
3, 6, 1.5, 21, 0
2, 7, 1.75, 29, 0
2, 8, 2, 35, 1
2, 10, 2.5, 49, 0
4, 5, 1.25, 16, 1
2, 3, 0.75, 9, 1
3, 16, 4, 74, 0
2, 4, 1, 14, 1
0, 2, 0.5, 4, 0
4, 7, 1.75, 25, 0
1, 9, 2.25, 51, 0
2, 4, 1, 16, 0
2, 4, 1, 16, 0
4, 17, 4.25, 71, 1
2, 2, 0.5, 4, 0
2, 2, 0.5, 4, 1
2, 2, 0.5, 4, 1
2, 4, 1, 16, 1
2, 2, 0.5, 4, 0
2, 2, 0.5, 4, 0
2, 2, 0.5, 4, 0
4, 6, 1.5, 23, 1
2, 4, 1, 16, 0
2, 4, 1, 16, 0
2, 4, 1, 16, 0
2, 6, 1.5, 28, 1
2, 6, 1.5, 28, 0
4, 2, 0.5, 4, 0
4, 2, 0.5, 4, 0
4, 2, 0.5, 4, 0
2, 7, 1.75, 35, 1
4, 2, 0.5, 4, 1
4, 2, 0.5, 4, 0
4, 2, 0.5, 4, 0
4, 2, 0.5, 4, 0
12, 11, 2.75, 23, 0
4, 7, 1.75, 28, 0
3, 17, 4.25, 86, 0
4, 9, 2.25, 38, 1
4, 4, 1, 14, 1
5, 7, 1.75, 26, 1
4, 8, 2, 34, 1
2, 13, 3.25, 76, 1
4, 9, 2.25, 40, 0
2, 5, 1.25, 26, 0
2, 5, 1.25, 26, 0
6, 17, 4.25, 70, 0
0, 8, 2, 59, 0
3, 5, 1.25, 26, 0
2, 3, 0.75, 14, 0
2, 10, 2.5, 64, 0
4, 5, 1.25, 23, 1
4, 9, 2.25, 46, 0
4, 5, 1.25, 23, 0
4, 8, 2, 40, 1
2, 12, 3, 82, 0
11, 24, 6, 64, 0
2, 7, 1.75, 46, 1
4, 11, 2.75, 61, 0
1, 7, 1.75, 57, 0
2, 11, 2.75, 79, 1
2, 3, 0.75, 16, 1
4, 5, 1.25, 26, 1
2, 6, 1.5, 41, 1
2, 5, 1.25, 33, 1
2, 4, 1, 26, 0
2, 5, 1.25, 34, 0
4, 8, 2, 46, 1
2, 4, 1, 26, 0
4, 8, 2, 48, 1
2, 2, 0.5, 10, 1
4, 5, 1.25, 28, 0
2, 12, 3, 95, 0
2, 2, 0.5, 10, 0
4, 6, 1.5, 35, 0
2, 11, 2.75, 88, 0
2, 3, 0.75, 19, 0
2, 5, 1.25, 37, 0
2, 12, 3, 98, 0
9, 5, 1.25, 19, 0
2, 2, 0.5, 11, 0
2, 9, 2.25, 74, 0
5, 14, 3.5, 86, 0
4, 3, 0.75, 16, 0
4, 3, 0.75, 16, 0
4, 2, 0.5, 9, 1
4, 3, 0.75, 16, 1
6, 3, 0.75, 14, 0
2, 2, 0.5, 11, 0
2, 2, 0.5, 11, 1
2, 2, 0.5, 11, 0
2, 7, 1.75, 58, 1
4, 6, 1.5, 39, 0
4, 11, 2.75, 78, 0
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 1
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
2, 1, 0.25, 2, 0
11, 10, 2.5, 35, 0
11, 4, 1, 16, 1
4, 5, 1.25, 33, 1
4, 6, 1.5, 41, 1
2, 3, 0.75, 22, 0
4, 4, 1, 26, 1
10, 4, 1, 16, 0
2, 4, 1, 35, 0
4, 12, 3, 88, 0
13, 8, 2, 26, 0
11, 9, 2.25, 33, 0
4, 5, 1.25, 34, 0
4, 4, 1, 26, 0
8, 15, 3.75, 77, 0
4, 5, 1.25, 35, 1
4, 7, 1.75, 52, 0
4, 7, 1.75, 52, 0
2, 4, 1, 35, 0
11, 11, 2.75, 42, 0
2, 2, 0.5, 14, 0
2, 5, 1.25, 47, 1
9, 8, 2, 38, 1
4, 6, 1.5, 47, 0
11, 7, 1.75, 29, 0
9, 9, 2.25, 45, 0
4, 6, 1.5, 52, 0
4, 7, 1.75, 58, 0
